,Make,,,,,,Roto Pump,,,,,,,,,,,,,,,,,,,,,,,,
,Model, ,,,,,MCCHJCD1Y,,,,,,,,,,,,,,,,,,,,,,,,
Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Make,,,,,,NORD,,,,,Nord,,,,,,,,,,,,,,,,,,,
,Model, ,,,,,SK90S/6 TF T14,,,,,90SP/4 TF,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,202365354-100,,,,,34011184,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,,,,,,2.38,,,,,,,,,,,,,,,,,,,
,Power,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,
,Frame  size, ,,,,,90,,,,,90,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inverter drive,,,,,,WEG CFW-08,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pump No. ,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STL Number, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Pump head,Serial No.,,,,,,312808,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Seepex,,,,,,,,,,,,,,,,,,,,,,,,
,Model, ,,,,,BW2,,,,,,,,,,,,,,,,,,,,,,,,
Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Make,,,,,,ECHTOP,,,,,,,,,,,,,,,,,,,,,,,,
,Model, ,,,,,0.7453TECAP35-IE2,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,AA52.802,,,,,,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,
,Frame  size, ,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inverter drive,,,,,,Nord SK-200E,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metering  P/P No. ,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity , ,,,,,117l/h@ 4Bar,,,,,,,,,,,,,,,,,,,,,,,,
,STL Number, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Pump head,Serial No.,,,,,,2025411455,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Prominent,,,,,,,,,,,,,,,,,,,,,,,,
,Model, ,,,,,S1CB,,,,,,,,,,,,,,,,,,,,,,,,
Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Make,,,,,,Bonfiglioli,,,,,,,,,,,,,,,,,,,,,,,,
,Model, ,,,,,BN58B 4,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,VN01241133374,,,,,,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metering  P/P No. ,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STL Number, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Pump head,Serial No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Make,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMU,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Universal motors,,,,,,,,,,,,,,,,,,,,,,,,
,Model,,,,,,UMHA80G-6B14,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,YA421015,,,,,,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,
,Power,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,
,Frame  size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frame  size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discharge Conveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QTY,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Make ,,,,,,SYDEX,,,,,Sterpecon,,,,,,,,,,,,,,,,,,,
,Model,,,,,,SLCR 250/12500,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,AS1056,,,,,C4738 001,,,,,,,,,,,,,,,,,,,
,Length,,,,,,12.5,,,,,11,,,,,,,,,,,,,,,,,,,
,Height at discharge,,,,,,,,,,,rig ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Brook Crompton,,,,,Nord,,,,,,,,,,,,,,,,,,,
,Model,,,,,,WP-D9112MWX-D-IE3,,,,,SK132P/4 TF SH,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,112W2684101,,,,,02421706-100,,,,,,,,,,,,,,,,,,,
,No. Pole Pairs,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,
,Frame  size,,,,,,112,,,,,132,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,8.4,,,,,10.9,,,,,,,,,,,,,,,,,,,
,Power,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,
,Inverter drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
